,left x,left y,right x,right y
843,2752,2085,5759,989
844,2752,2085,5759,993
845,2749,2089,5759,997
846,2745,2090,5759,1003
847,2743,2086,5759,1007
848,2745,2089,5759,1004
849,2750,2088,5759,998
850,2753,2090,5759,996
851,2752,2089,5759,998
852,2749,2087,5759,1002
853,2747,2090,5759,1005
854,2748,2091,5759,1006
855,2749,2099,5759,1005
856,2749,2093,5759,1004
857,2745,2094,5759,1008
858,2741,2094,5759,1011
859,2739,2096,5759,1014
860,2741,2098,5759,1016
861,2745,2096,5759,1015
862,2747,2099,5759,1010
863,2747,2095,5759,1007
864,2745,2096,5759,1005
865,2745,2098,5759,1006
866,2747,2100,5759,1006
867,2750,2100,5759,1003
868,2752,2096,5759,1000
869,2751,2096,5759,1000
870,2751,2098,5759,1002
871,2754,2095,5759,1005
872,2757,2096,5759,1004
873,2762,2098,5759,1001
874,2766,2097,5759,997
875,2769,2099,5759,996
876,2771,2098,5759,995
877,2773,2096,5759,995
878,2775,2101,5759,992
879,2778,2102,5759,992
880,2780,2100,5759,989
881,2781,2091,5759,986
882,2780,2087,5759,983
883,2779,2092,5759,981
884,2781,2088,5759,981
885,2781,2092,5759,978
886,2781,2089,5759,978
887,2782,2087,5759,976
888,2782,2086,5759,974
889,2782,2082,5759,974
890,2780,2087,5759,971
891,2780,2088,5759,971
892,2782,2080,5759,972
893,2784,2083,5759,973
894,2784,2086,5759,971
895,2786,2088,5759,969
896,2790,2086,5759,968
897,2794,2083,5759,966
898,2797,2087,5759,964
899,2797,2092,5759,962
